image_name,xmin,xmax,ymin,ymax,class_id,score
MVPC10_0014_20210120-03_20.png,45,59,27,40,human,0.6965325474739075
MVPC10_0014_20210120-03_20.png,64,72,29,41,human,0.6364847421646118
MVPC10_0017_20210108-02_55.png,15,26,29,39,human,0.8293259739875793
MVPC10_0017_20210108-02_55.png,55,63,50,60,human,0.7592451572418213
MVPC10_0017_20210108-02_55.png,31,41,10,18,human,0.7500936388969421
MVPC10_0017_20210108-02_55.png,42,51,30,38,human,0.7148309350013733
MVPC10_0017_20210108-02_55.png,1,10,19,28,human,0.6566190719604492
MVPC10_0017_20210108-02_55.png,14,21,15,23,human,0.6486777067184448
MVPC10_0017_20210108-02_55.png,5,14,31,41,human,0.6398573517799377
MVPC10_0017_20210108-02_55.png,67,76,47,56,human,0.5075746774673462
MVPC10_0007_20210114-08_50.png,25,51,1,16,human,0.8646895289421082
MVPC10_0006_20210111-03_45.png,53,62,61,72,human,0.5640074014663696
MVPC10_0015_20210118-09_15.png,10,18,53,62,human,0.74300217628479
MVPC10_0015_20210118-09_15.png,30,37,0,7,human,0.637442409992218
MVPC10_0015_20210118-09_15.png,43,49,1,7,human,0.5321941375732422
MVPC10_0015_20210118-09_15.png,9,23,61,70,human,0.5061160922050476
MVPC10_0014_20210118-09_40.png,38,52,70,77,human,0.7016086578369141
MVPC10_0014_20210121-09_45.png,7,16,18,27,human,0.7620559334754944
MVPC10_0014_20210121-09_45.png,11,19,33,41,human,0.5976464748382568
MVPC10_0006_20210118-03_50.png,67,78,24,37,human,0.526662290096283
MVPC10_0006_20210118-03_50.png,6,12,66,80,human,0.5052521824836731
MVPC10_0006_20210118-03_50.png,21,30,2,10,human,0.5030734539031982
MVPC10_0008_20210115-09_45.png,57,68,48,59,human,0.8658347725868225
MVPC10_0008_20210115-09_45.png,60,71,27,38,human,0.5318008065223694
MVPC10_0015_20210108-03_10.png,35,45,11,21,human,0.6833705306053162
MVPC10_0015_20210108-03_10.png,56,67,12,23,human,0.6431628465652466
MVPC10_0015_20210108-03_10.png,57,67,28,39,human,0.5963689684867859
MVPC10_0006_20210114-08_50.png,14,34,2,16,human,0.7815666794776917
MVPC10_0006_20210114-08_50.png,54,63,66,74,human,0.6746518015861511
MVPC10_0006_20210114-08_50.png,6,11,71,80,human,0.5431076288223267
MVPC10_0002_20210119-03_20.png,2,8,46,54,human,0.8374078869819641
MVPC10_0002_20210119-03_20.png,4,21,46,65,human,0.5611534118652344
MVPC10_0006_20210108-09_15.png,0,11,45,61,human,0.8316778540611267
MVPC10_0006_20210108-09_15.png,15,33,1,10,human,0.7053207159042358
MVPC10_0006_20210108-09_15.png,55,72,28,37,human,0.7000680565834045
MVPC10_0006_20210108-09_15.png,6,16,55,67,human,0.5823431611061096
MVPC10_0006_20210108-09_15.png,68,77,28,37,human,0.564622163772583
MVPC10_0006_20210108-09_15.png,68,77,66,73,human,0.5358463525772095
MVPC10_0006_20210108-09_15.png,29,36,1,9,human,0.5316975116729736
MVPC10_0006_20210108-09_15.png,59,69,57,65,human,0.5123217105865479
MVPC10_0015_20210119-09_20.png,10,20,13,23,human,0.5258402228355408
MVPC10_0015_20210115-03_30.png,12,22,13,23,human,0.6499313712120056
MVPC10_0007_20210115-08_40.png,25,50,1,15,human,0.8467170000076294
MVPC10_0014_20210112-09_20.png,53,61,28,38,human,0.7257370948791504
MVPC10_0014_20210112-09_20.png,21,28,57,66,human,0.525334358215332
MVPC10_0014_20210112-09_20.png,10,17,18,27,human,0.5102230310440063
MVPC10_0016_20210119-03_10.png,55,64,28,37,human,0.5150430798530579
MVPC10_0008_20210115-09_50.png,57,69,48,58,human,0.8527953624725342
MVPC10_0008_20210115-09_50.png,57,64,63,70,human,0.5691665410995483
