img_name,cnt
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650315681891.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650315681978.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650315682128.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650315682196.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650315736806.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650315796123.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650315856514.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650315917006.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650315976418.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316036754.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316095996.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316156301.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316216786.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316276225.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316336694.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316397027.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316456432.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316516781.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316576169.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316636706.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316697181.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316756691.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316817204.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316876691.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316937171.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650316996629.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317056979.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317117600.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317176971.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317236511.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317296922.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317356318.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317416764.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317476270.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317536589.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317596987.png,0
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317656374.png,1
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317716924.png,1
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317776334.png,2
/media/z/0/MVPC10/DATA/v1.1/RAW/device_03/20220419/1650317836858.png,1
