ir,rgb,previous,count
data/20220419/1650315681891.png,data/20220419/1650315681891.jpg,0,0
data/20220419/1650315681978.png,data/20220419/1650315681978.jpg,0,-1
data/20220419/1650315682128.png,data/20220419/1650315682128.jpg,0,-1
data/20220419/1650315682196.png,data/20220419/1650315682196.jpg,0,-1
data/20220419/1650315736806.png,data/20220419/1650315736806.jpg,0,0
data/20220419/1650315796123.png,data/20220419/1650315796123.jpg,0,0
data/20220419/1650315856514.png,data/20220419/1650315856514.jpg,0,0
data/20220419/1650315917006.png,data/20220419/1650315917006.jpg,0,0
data/20220419/1650315976418.png,data/20220419/1650315976418.jpg,0,0
data/20220419/1650316036754.png,data/20220419/1650316036754.jpg,0,0
data/20220419/1650316095996.png,data/20220419/1650316095996.jpg,0,0
data/20220419/1650316156301.png,data/20220419/1650316156301.jpg,0,0
data/20220419/1650316216786.png,data/20220419/1650316216786.jpg,0,0
data/20220419/1650316276225.png,data/20220419/1650316276225.jpg,0,0
data/20220419/1650316336694.png,data/20220419/1650316336694.jpg,0,0
data/20220419/1650316397027.png,data/20220419/1650316397027.jpg,0,0
data/20220419/1650316456432.png,data/20220419/1650316456432.jpg,0,0
data/20220419/1650316516781.png,data/20220419/1650316516781.jpg,0,0
data/20220419/1650316576169.png,data/20220419/1650316576169.jpg,0,0
data/20220419/1650316636706.png,data/20220419/1650316636706.jpg,0,0
data/20220419/1650316697181.png,data/20220419/1650316697181.jpg,0,0
data/20220419/1650316756691.png,data/20220419/1650316756691.jpg,0,0
data/20220419/1650316817204.png,data/20220419/1650316817204.jpg,0,0
data/20220419/1650316876691.png,data/20220419/1650316876691.jpg,0,0
data/20220419/1650316937171.png,data/20220419/1650316937171.jpg,0,0
data/20220419/1650316996629.png,data/20220419/1650316996629.jpg,0,0
data/20220419/1650317056979.png,data/20220419/1650317056979.jpg,0,0
data/20220419/1650317117600.png,data/20220419/1650317117600.jpg,0,0
data/20220419/1650317176971.png,data/20220419/1650317176971.jpg,0,0
data/20220419/1650317236511.png,data/20220419/1650317236511.jpg,0,0
data/20220419/1650317296922.png,data/20220419/1650317296922.jpg,0,0
data/20220419/1650317356318.png,data/20220419/1650317356318.jpg,0,0
data/20220419/1650317416764.png,data/20220419/1650317416764.jpg,0,0
data/20220419/1650317476270.png,data/20220419/1650317476270.jpg,0,0
data/20220419/1650317536589.png,data/20220419/1650317536589.jpg,0,0
data/20220419/1650317596987.png,data/20220419/1650317596987.jpg,0,0
data/20220419/1650317656374.png,data/20220419/1650317656374.jpg,1,1
data/20220419/1650317716924.png,data/20220419/1650317716924.jpg,1,1
data/20220419/1650317776334.png,data/20220419/1650317776334.jpg,2,2
data/20220419/1650317836858.png,data/20220419/1650317836858.jpg,1,2
data/20220419/1650317896295.png,data/20220419/1650317896295.jpg,3,3
data/20220419/1650317956753.png,data/20220419/1650317956753.jpg,0,0
data/20220419/1650318016075.png,data/20220419/1650318016075.jpg,0,0
data/20220419/1650318076450.png,data/20220419/1650318076450.jpg,0,0
data/20220419/1650318137093.png,data/20220419/1650318137093.jpg,0,0
data/20220419/1650318196410.png,data/20220419/1650318196410.jpg,0,0
data/20220419/1650318256773.png,data/20220419/1650318256773.jpg,0,0
data/20220419/1650318316137.png,data/20220419/1650318316137.jpg,0,0
data/20220419/1650318376654.png,data/20220419/1650318376654.jpg,0,0
data/20220419/1650318437239.png,data/20220419/1650318437239.jpg,0,0
data/20220419/1650318496719.png,data/20220419/1650318496719.jpg,0,0
data/20220419/1650318557189.png,data/20220419/1650318557189.jpg,0,0
data/20220419/1650318616495.png,data/20220419/1650318616495.jpg,0,0
data/20220419/1650318676966.png,data/20220419/1650318676966.jpg,0,0
data/20220419/1650318736418.png,data/20220419/1650318736418.jpg,1,1
data/20220419/1650318797002.png,data/20220419/1650318797002.jpg,0,1
data/20220419/1650318922013.png,data/20220419/1650318922013.jpg,0,-1
data/20220419/1650318922154.png,data/20220419/1650318922154.jpg,0,-1
data/20220419/1650318922293.png,data/20220419/1650318922293.jpg,0,-1
data/20220419/1650318922465.png,data/20220419/1650318922465.jpg,0,-1
data/20220419/1650318976983.png,data/20220419/1650318976983.jpg,0,0
data/20220419/1650319036451.png,data/20220419/1650319036451.jpg,1,0
data/20220419/1650319096810.png,data/20220419/1650319096810.jpg,1,0
data/20220419/1650319156176.png,data/20220419/1650319156176.jpg,0,0
data/20220419/1650319217782.png,data/20220419/1650319217782.jpg,1,1
data/20220419/1650319276179.png,data/20220419/1650319276179.jpg,2,2
data/20220419/1650319336444.png,data/20220419/1650319336444.jpg,2,2
data/20220419/1650319396976.png,data/20220419/1650319396976.jpg,0,0
data/20220419/1650319456499.png,data/20220419/1650319456499.jpg,0,0
data/20220419/1650319516913.png,data/20220419/1650319516913.jpg,2,2
data/20220419/1650319576467.png,data/20220419/1650319576467.jpg,1,1
data/20220419/1650319636838.png,data/20220419/1650319636838.jpg,0,1
data/20220419/1650319696413.png,data/20220419/1650319696413.jpg,0,0
data/20220419/1650319756747.png,data/20220419/1650319756747.jpg,0,0
data/20220419/1650319816069.png,data/20220419/1650319816069.jpg,0,0
data/20220419/1650319876472.png,data/20220419/1650319876472.jpg,0,0
data/20220419/1650319936759.png,data/20220419/1650319936759.jpg,0,0
data/20220419/1650319996107.png,data/20220419/1650319996107.jpg,1,1
data/20220419/1650320056550.png,data/20220419/1650320056550.jpg,0,0
data/20220419/1650320117042.png,data/20220419/1650320117042.jpg,0,0
data/20220419/1650320176399.png,data/20220419/1650320176399.jpg,0,0
data/20220419/1650320236869.png,data/20220419/1650320236869.jpg,0,0
data/20220419/1650320296355.png,data/20220419/1650320296355.jpg,0,0
data/20220419/1650320356564.png,data/20220419/1650320356564.jpg,1,3
data/20220419/1650320417118.png,data/20220419/1650320417118.jpg,0,2
data/20220419/1650320476474.png,data/20220419/1650320476474.jpg,1,3
data/20220419/1650320536979.png,data/20220419/1650320536979.jpg,0,3
data/20220419/1650320596370.png,data/20220419/1650320596370.jpg,0,3
data/20220419/1650320656978.png,data/20220419/1650320656978.jpg,4,4
data/20220419/1650320716405.png,data/20220419/1650320716405.jpg,0,0
data/20220419/1650320776826.png,data/20220419/1650320776826.jpg,0,0
data/20220419/1650320836125.png,data/20220419/1650320836125.jpg,0,0
data/20220419/1650320896218.png,data/20220419/1650320896218.jpg,0,0
data/20220419/1650320956525.png,data/20220419/1650320956525.jpg,0,0
data/20220419/1650321016982.png,data/20220419/1650321016982.jpg,0,0
data/20220419/1650321076495.png,data/20220419/1650321076495.jpg,0,0
data/20220419/1650321136911.png,data/20220419/1650321136911.jpg,2,2
data/20220419/1650321196363.png,data/20220419/1650321196363.jpg,2,2
data/20220419/1650321256609.png,data/20220419/1650321256609.jpg,2,2
data/20220419/1650321316937.png,data/20220419/1650321316937.jpg,3,0
data/20220419/1650321376465.png,data/20220419/1650321376465.jpg,0,0
data/20220419/1650321436762.png,data/20220419/1650321436762.jpg,1,1
data/20220419/1650321496203.png,data/20220419/1650321496203.jpg,1,1
data/20220419/1650321556607.png,data/20220419/1650321556607.jpg,1,1
data/20220419/1650321616967.png,data/20220419/1650321616967.jpg,1,2
data/20220419/1650321676359.png,data/20220419/1650321676359.jpg,1,2
data/20220419/1650321736680.png,data/20220419/1650321736680.jpg,2,2
data/20220419/1650321796083.png,data/20220419/1650321796083.jpg,1,2
data/20220419/1650321856627.png,data/20220419/1650321856627.jpg,1,2
data/20220419/1650321917079.png,data/20220419/1650321917079.jpg,1,2
data/20220419/1650321976434.png,data/20220419/1650321976434.jpg,0,2
data/20220419/1650322036883.png,data/20220419/1650322036883.jpg,0,0
data/20220419/1650322096336.png,data/20220419/1650322096336.jpg,0,0
data/20220419/1650322156825.png,data/20220419/1650322156825.jpg,0,0
data/20220419/1650322216307.png,data/20220419/1650322216307.jpg,0,0
data/20220419/1650322276782.png,data/20220419/1650322276782.jpg,1,1
data/20220419/1650322336201.png,data/20220419/1650322336201.jpg,0,1
data/20220419/1650322396612.png,data/20220419/1650322396612.jpg,5,5
data/20220419/1650322457079.png,data/20220419/1650322457079.jpg,6,6
data/20220419/1650322516499.png,data/20220419/1650322516499.jpg,3,4
data/20220419/1650322576976.png,data/20220419/1650322576976.jpg,5,4
data/20220419/1650322636414.png,data/20220419/1650322636414.jpg,0,0
data/20220419/1650322696966.png,data/20220419/1650322696966.jpg,2,2
data/20220419/1650322756445.png,data/20220419/1650322756445.jpg,1,1
data/20220419/1650322818096.png,data/20220419/1650322818096.jpg,1,1
data/20220419/1650322876404.png,data/20220419/1650322876404.jpg,1,1
data/20220419/1650322936854.png,data/20220419/1650322936854.jpg,2,1
data/20220419/1650322996308.png,data/20220419/1650322996308.jpg,1,1
data/20220419/1650323056697.png,data/20220419/1650323056697.jpg,1,1
data/20220419/1650323116049.png,data/20220419/1650323116049.jpg,2,1
data/20220419/1650323176493.png,data/20220419/1650323176493.jpg,1,1
data/20220419/1650323236820.png,data/20220419/1650323236820.jpg,0,0
data/20220419/1650323296087.png,data/20220419/1650323296087.jpg,0,0
data/20220419/1650323356353.png,data/20220419/1650323356353.jpg,0,2
data/20220419/1650323416630.png,data/20220419/1650323416630.jpg,0,1
data/20220419/1650323476028.png,data/20220419/1650323476028.jpg,6,5
data/20220419/1650323536330.png,data/20220419/1650323536330.jpg,0,1
data/20220419/1650323596704.png,data/20220419/1650323596704.jpg,1,1
data/20220419/1650323655916.png,data/20220419/1650323655916.jpg,1,1
data/20220419/1650323716386.png,data/20220419/1650323716386.jpg,2,2
data/20220419/1650323776665.png,data/20220419/1650323776665.jpg,2,2
data/20220419/1650323836159.png,data/20220419/1650323836159.jpg,2,2
data/20220419/1650323896622.png,data/20220419/1650323896622.jpg,2,2
data/20220419/1650323956898.png,data/20220419/1650323956898.jpg,0,2
data/20220419/1650324016081.png,data/20220419/1650324016081.jpg,0,2
data/20220419/1650324076314.png,data/20220419/1650324076314.jpg,1,2
data/20220419/1650324136508.png,data/20220419/1650324136508.jpg,3,3
